419620	467035
223106	375345
61568	115595
260179	536093
48384	177513
217421	229617
200662	417791
27445	285699
46024	392525
478031	544057
48107	204218
245312	341366
239951	342118
189674	433407
122086	179099
412713	485547
340523	535818
102756	329503
43801	434500
370394	404988
347635	527722
436670	468152
218539	240616
77231	287927
4117	91428
136568	208896
312497	476302
301113	357938
238961	455052
18056	127429
112299	220593
238648	498289
511122	524511
89668	453269
99791	206045
311592	467058
2832	467962
175435	363203
323980	354828
440963	486746
209358	465594
317053	447609
171027	447717
97362	189998
61460	351320
208639	296392
201363	494419
105046	484215
477923	540728
28002	310939
344018	521017
473918	493953
351725	496054
30402	251388
260498	324713
188317	264319
23424	131676
128886	296408
405304	518112
192689	231909
159117	490877
18397	133723
223988	434177
43002	344283
140609	536115
13059	98808
57191	298086
276411	433980
6089	57101
399217	514944
90062	101935
66034	475605
219678	277322
78427	526627
78727	103370
266842	341718
277772	304680
21651	483213
161305	400081
154277	372706
478344	481287
107457	208008
143346	167493
3374	255164
222632	458920
99602	546117
375839	405779
51351	400215
139619	172984
194837	539080
110378	131756
103522	108235
71879	458452
283857	462046
91630	146964
422453	447161
30172	548179
255080	275780
199861	225422
28052	319292
322368	333493
297035	416702
212073	424479
62962	102093
271470	469148
341045	545111
138550	523140
41182	329299
14243	487531
142738	521539
167236	245525
129907	249493
264000	437441
376774	399199
112249	141786
333848	355953
336347	469499
94470	224775
462051	475643
104217	458358
195154	527001
257507	433882
58897	382892
238660	360477
180388	395633
4209	547939
142275	228040
265965	357103
113428	317150
20466	84080
341570	533197
272758	288927
216721	436020
6293	207042
29543	155323
476027	516857
348641	544510
166626	377341
179223	388454
441931	548471
281644	433468
165683	214824
87728	364556
124697	325663
9253	84392
191687	542486
34136	106200
59925	126284
220771	490711
505008	506954
115368	367815
94552	205755
71463	200301
345621	349834
444040	516073
326238	534099
23273	517508
414409	422934
95059	399554
259603	333500
272694	314776
53723	311661
414967	430751
143844	505908
4015	501994
197044	416436
174953	521911
77052	313988
329392	462094
247638	427311
97315	157351
405771	421959
79068	279920
212948	492699
175808	317815
180894	310624
177811	326621
96630	504464
279747	528277
101402	278445
296018	466009
241739	404317
207248	358794
137370	377046
77152	136516
428991	450752
346365	356306
335144	386318
185057	323946
100383	289759
157699	244809
139690	261313
209114	459898
51750	528034
340738	367382
253874	411420
509151	514465
79273	353346
19442	187393
40399	222998
19403	198821
34948	38473
232913	399606
110628	420402
17586	383065
365983	453105
12326	70870
84719	338356
275061	338137
108854	221347
32468	234519
300969	416339
296846	492732
168118	532720
498832	545142
7758	220636
170145	264014
109533	373631
359374	438320
93941	119294
216120	548392
39748	437740
16834	504054
313805	362512
90393	230902
196157	348640
154266	502898
43509	533864
116535	237628
97304	313824
170540	191308
361337	506867
87435	388454
81180	446821
355742	536807
41159	276157
3046	503511
16655	531894
365	381230
149963	361817
95411	464749
44737	107965
282604	528915
79883	216376
145964	433385
295280	312572
35515	528479
38952	545045
364547	544234
37537	403872
36119	42034
51913	176336
440733	545243
15937	202844
320401	345000
245064	538401
348443	472299
35188	117077
82572	255982
74875	174488
8216	452630
77964	99241
221074	336424
228289	503706
175393	491884
88127	382476
368551	494985
79284	484329
531356	531357
224014	451294
484286	493103
31980	520608
69694	156134
246843	384993
467896	479121
151169	386487
147127	530825
207681	383060
179223	244136
6484	505626
120632	277115
363626	492218
241461	377286
501695	505817
190706	224734
53696	311564
304990	438557
9482	326070
73897	244654
59997	174765
348458	429103
70172	79976
265616	543280
221546	477643
77039	250168
133749	295023
327995	544390
228408	346521
9381	71537
32597	379356
6799	502973
300527	519534
362564	495619
193210	222491
26687	490816
61890	418393
299119	489455
19505	280467
242413	495372
165340	188476
12557	297061
428983	533046
127445	536651
459294	472904
304557	342775
491399	510054
106581	281960
138236	447524
40035	148444
353967	453267
148990	414807
186707	538851
154888	281218
208439	514070
132846	342087
319310	525876
60503	305517
387372	436295
181582	308439
395578	537945
294671	326993
380016	439300
208658	440151
156544	422313
340415	355803
171188	321547
30474	122480
405203	492918
135296	158644
240142	525877
77830	415062
374442	457775
6759	6821
81367	381649
45722	447649
339684	491168
101619	257731
322777	388576
41399	99891
122236	141124
213061	394495
172612	500553
147276	436382
71012	93206
163309	542769
111121	215436
194084	306606
139116	486867
215081	378009
231788	319395
125130	372416
373430	468989
297307	522453
165098	476074
133109	332890
291211	525695
22061	469762
371692	531527
133743	391690
396234	484602
132230	149763
170373	219716
123198	134794
250189	262499
59193	457828
120424	484030
56150	64242
51394	367694
35048	398711
195724	544865
41378	115424
174466	180741
155857	222623
406193	406972
290730	498399
93744	191160
228170	360921
54162	488927
208812	526139
173905	296333
263500	385734
98309	480759
17517	62515
55035	503389
60029	102186
284057	439162
307455	370502
162086	530187
214806	345517
256480	303186
202945	319650
351917	388017
453978	525604
26527	539304
391510	428127
262519	539589
96425	140733
162776	206674
165977	301193
304083	377059
384178	423042
318501	516709
101897	489975
136855	434192
241283	478888
517852	545053
25654	531805
103253	435549
370619	394599
165804	418298
163269	391001
291216	522566
352954	400830
200441	420639
312174	358925
14378	154358
102252	401177
136781	441370
25032	207585
288483	536936
240953	515006
209810	515046
22920	384285
192485	280078
135632	407462
14053	488341
93266	368974
59742	353397
1039	181158
270595	376278
